sin_hour,stopOrder,nextStopOrder,time_diff,weekDay,Minute
6,5,6,770,3,10
5,2,3,738,4,59
6,5,6,737,2,10
6,5,6,678,4,11
6,6,7,629,5,17
6,6,7,612,2,16
6,3,4,573,3,1
6,3,4,560,4,1
6,3,4,553,2,1
6,3,4,552,6,1
6,3,4,550,5,1
6,6,7,545,4,19
6,8,9,544,3,25
6,6,7,531,3,17
6,3,4,530,4,0
6,3,4,526,5,2
6,3,4,524,4,1
6,3,4,521,6,1
6,3,4,520,6,1
6,3,4,518,2,0
6,3,4,518,4,0
6,3,4,518,6,2
6,3,4,518,4,2
6,3,4,517,3,5
6,3,4,516,5,2
6,6,7,514,6,15
6,3,4,513,5,0
6,3,4,513,5,0
6,6,7,512,5,16
6,3,4,508,5,0
6,3,4,508,6,1
6,3,4,507,4,2
6,6,7,507,3,22
6,3,4,507,6,0
6,3,4,504,6,0
6,3,4,504,3,0
6,3,4,503,6,0
6,3,4,502,3,1
6,7,8,501,6,24
6,3,4,497,2,2
6,3,4,495,2,2
6,6,7,494,6,16
6,6,7,493,4,15
6,3,4,492,3,0
6,6,7,491,5,16
6,3,4,490,2,2
6,3,4,486,5,1
6,6,7,484,3,14
6,6,7,483,2,16
6,6,7,483,6,16
6,3,4,482,5,0
6,3,4,481,3,2
5,3,4,478,3,59
6,3,4,478,2,2
6,3,4,478,5,0
6,3,4,477,2,1
6,3,4,474,3,0
6,3,4,473,2,1
6,8,9,471,6,24
6,6,7,471,2,16
6,3,4,471,2,1
6,6,7,470,2,17
6,6,7,468,3,15
6,6,7,467,6,15
6,3,4,466,2,1
6,6,7,464,6,16
6,6,7,463,6,16
6,6,7,458,5,17
5,3,4,458,4,59
6,6,7,457,3,18
6,3,4,457,6,1
6,6,7,457,5,15
6,6,7,452,2,19
6,6,7,450,5,16
6,6,7,444,6,16
6,6,7,443,2,17
6,6,7,442,3,15
6,6,7,438,4,17
6,6,7,431,4,16
6,6,7,428,3,14
6,6,7,427,4,17
6,6,7,424,6,14
6,6,7,421,2,16
6,6,7,420,4,12
6,6,7,418,5,14
6,8,9,415,2,25
6,8,9,414,2,29
6,8,9,413,5,26
6,6,7,412,5,15
6,6,7,412,2,16
6,8,9,411,4,26
6,8,9,410,4,25
6,8,9,408,4,22
6,6,7,407,6,14
